sentence,correct_phonemes,incorrect_phonemes,incorrect_phonemes_list,per,has_loanword,duration_seconds,total_expected_phonemes,total_recognized_phonemes
Verschwenden Sie nicht länger meine Lebenszeit!,27,8,"ʁ→ɾ, ɐ→ɜ, e→eː, ɛ→ə, -t, s→ts, -ə, iː→aɪ",0.22857142857142856,False,2.609375,35,33
Bei Karsten dauert der Abwasch immer eine halbe Ewigkeit.,30,10,"-ɐ, t→ɜ, eː→ɛ, ɐ→ɾ, -a, ɐ→ɜ, e→eː, -k, -ə, iː→aɪ",0.25,False,3.76953125,40,36
"Gustav legt eine Reihe aus Bube, Dame, König und Ass.",28,9,"ʊ→u, aː→a, eː→iː, ɾ→r, -a, e→aɪ, e→ə, øː→ø, ç→k",0.24324324324324326,False,4.62890625,37,36
"Schatz, du siehst zum Anbeißen aus!",16,6,"t→ts, s→d, ː→uː, s→ts, b→v, s→z",0.2727272727272727,False,2.310546875,22,22
Worin unterscheiden sich Psychologen von Psychiatern?,25,17,"ɾ→r, -ɛ, -ɾ, z→ɜ, ç→ʃ, -a, e→aɪ, s→z, +y, o→oː, o→oː, s→z, yː→y, -ɪ, aː→ɑː, tʰ→t, ɐ→ə",0.4146341463414634,False,3.4609375,41,38
Damals war die Gruppe auch noch nicht so berühmt.,26,8,"a→ɑː, aː→ɑː, ɐ→ɾ, ʁ→ɾ, -x, +t, ɾ→r, j→y",0.24242424242424243,False,3.490234375,33,33
"Deinem vorlauten Freund solltest du sagen, dass er sich zurückhalten soll.",38,18,"ɐ→ɾ, -a, o→aʊ, -ɔ, ø→aʊ, ː→uː, aː→ɑː, eː→ɛ, ɐ→ɾ, -t, s→ts, u→uː, ʀ→r, k→ə, h→k, +ə, n̩→n, +ə",0.3333333333333333,False,5.01171875,54,53
Offiziell gibt es kein hitzefrei mehr.,18,11,"t→ts, s→j, -i, eː→ɛ, -t, s→ts, ɛ→ə, ɾ→r, -a, e→aɪ, ɐ→ɾ",0.3793103448275862,False,2.80078125,29,26
Wer redet der Jugend so einen Unsinn ein?,21,12,"ɐ→ɾ, ɾ→r, eː→ɛ, ɐ→ɾ, ɛ→ə, z→ts, oː→uː, -a, e→aɪ, -n, -ɛ, ɪ→aɪ",0.36363636363636365,False,2.66015625,33,30
Sonst hatten wir nie Probleme mit Streunern.,25,8,"+ə, n̩→n, ɐ→ɾ, ʀ→ɾ, o→oː, ʁ→ɾ, ɔ→aʊ, ɐ→ə",0.25,False,2.779296875,32,33
Auf lange Sicht kann das Schnellladen die Lebensdauer des Akkus verkürzen.,41,12,"+l, aː→ɑː, ɛ→ə, -a, o→aʊ, ɐ→ɜ, ə→ɛ, u→uː, ɐ→ɾ, ʁ→y, t→ɾ, s→ts",0.23076923076923078,False,5.26171875,52,52
Etwaige sonstige Vorstellungskosten sind zum Beispiel Hotel- oder Verpflegungskosten.,60,10,"ɑ→aɪ, oː→ɔ, ɐ→ɾ, -t, s→ts, o→oː, ɐ→ɜ, ɐ→ɾ, +p, pf→f",0.14492753623188406,False,5.51171875,69,69
Als wenn das einen Unterschied machen würde!,27,6,"-a, e→aɪ, ɛ→ɜ, -z, ç→ʃ, +y",0.1875,False,2.490234375,32,31
Es ist eine kleine aber profitable Nische.,25,6,"eː→ɛ, -e, ɾ→ɜ, i→iː, a→ɑː, ɪ→iː",0.1935483870967742,False,3.48046875,31,30
nass,3,0,,0.0,False,0.39990234375,3,3
Was denkt Tronald über Krieg,17,5,"-k, -ɾ, yː→y, ɐ→ɜ, ʁ→ɾ",0.22727272727272727,False,2.08984375,22,20
Puristen schwören auf das Original ohne Zusätze.,26,12,"ɐ→r, øː→ø, ʁ→r, o→ɔ, ɾ→r, ɪ→iː, ɪ→iː, a→ɑː, -t, s→ts, -t, s→ts",0.3157894736842105,False,3.859375,38,36
Torge wählte den Sitzplatz direkt auf dem Radkasten.,33,9,"tʰ→t, ʁ→ɾ, -t, s→ts, -t, s→ts, i→iː, ʀ→r, ɾ→r",0.21428571428571427,False,3.80078125,42,40
Sonnenuntergang,11,1,ɐ→ɛ,0.08333333333333333,False,1.08984375,12,12
"Wenn es Niederschlag gibt, kommt dieser als Schnee herunter.",31,10,"eː→ɛ, ɐ→ɛ, +ɾ, aː→ɑː, -ə, ʁ→ɜ, -ə, ə→eː, ɾ→r, ɐ→ɜ",0.25,False,3.69921875,40,39
Ein Plug-in-Hybrid kann über einen Verbrennungsmotor oder das Stromnetz geladen werden.,44,26,"-ɛ, ɪ→aɪ, uː→a, x→k, +y, ʁ→r, i→iː, yː→y, -ɐ, -a, e→ɜ, n→aɪ, ɛː→ɛ, ɐ→ɾ, ʁ→r, -n, o→oː, o→oː, ɐ→ɜ, ɔ→oː, -t, s→ts, eː→ɛ, ɐ→ɾ, +ə, n̩→n",0.38235294117647056,False,6.578125,68,65
Süderbrarup kennen die meisten nur von Werner.,25,11,"+y, yː→uː, t→d, +ə, ʁ→r, aː→a, ʁ→r, -ə, ɪ→aɪ, ɐ→ɾ, ɐ→ə",0.3235294117647059,False,3.609375,34,35
"Wetten, dass ich es schaffe, den Stecker mit nur einem Versuch einzustecken?",42,13,"eː→ɛ, -f, -ʁ, -ɐ, a→ɾ, e→aɪ, ɛː→ɛ, ɐ→ɾ, ʊ→uː, -a, e→aɪ, -t, s→ts",0.23636363636363636,False,4.7109375,55,50
"Wir haben es erreicht, dass auf dem Rat der Europäischen Union im März wichtige Beschlüsse zum Klimaschutz gefasst wurden.",61,30,"ɐ→ɾ, aː→ɑː, eː→ɛ, -ɛː, ɐ→ɛ, a→r, e→aɪ, ʀ→r, aː→ɑː, eː→ɛ, ɐ→ɾ, ɔ→aɪ, ʁ→r, ɔ→oː, pʰ→p, eː→ɛ, +ə, n̩→n, u→ʊ, i→j, ʁ→ɾ, t→ts, -s, s→y, z→s, -t, s→ts, a→ɑː, -s, ʊ→uː",0.3333333333333333,False,7.421875,90,87
"Wer sagt, dass das Brecheisen keine Option ist?",27,8,"ɐ→ɾ, aː→ɑː, ʀ→r, +ə, n̩→n, t→ts, s→j, -i",0.23529411764705882,False,3.26953125,34,34
Hier mag man die Parteien loben.,20,4,"ɐ→ɾ, aː→ɑː, -ə, iː→aɪ",0.16666666666666666,False,2.189453125,24,23
Bekommst du ein Brüderchen oder ein Schwesterchen?,24,11,"-m, ː→t, ɛ→uː, ɪ→aɪ, ʁ→r, yː→uː, ɐ→ɜ, -ɐ, ɛ→ɜ, ɪ→aɪ, ɐ→ɜ",0.3142857142857143,False,3.01953125,35,33
In vielen Filmen werden die Stars von einem Double gedoublet um Verletzungen zu vermeiden.,53,18,"v→f, eː→ɛ, ɐ→ɾ, +ə, n̩→n, ʃ→s, -ɾ, -a, e→aɪ, -ə, +t, ɛː→ɛ, ɐ→ɾ, -t, s→ts, -t, s→ts, ɐ→ɾ",0.2608695652173913,False,5.30078125,69,66
Für mich bitte einen koffeinfreien Kaffee!,21,9,"ɐ→ɾ, -a, e→aɪ, kʰ→k, ɛ→ə, ʁ→r, -aj, ə→aɪ, e→eː",0.3,False,2.98046875,30,28
Was weiß ich!,8,0,,0.0,False,0.93017578125,8,8
"Wer in die Öffentlichkeit tritt, hat keine Nachsicht zu erwarten und keine zu fordern.",50,16,"ɐ→ɾ, œ→ɛ, -f, ɛ→ə, -ə, iː→aɪ, a→ɑː, -t, s→ts, ɐ→ɾ, ʁ→ɾ, -t, s→ts, ʁ→ɾ, -ə, ʁ→ɜ",0.24242424242424243,False,5.30859375,66,61
Die Information steht in der Infobox.,23,8,"o→ɔ, ʁ→ɾ, t→ts, s→j, -i, e→eː, eː→ɛ, ɐ→ɾ",0.25806451612903225,False,3.009765625,31,30
Dazu kommt etwas Lauch.,13,5,"-t, s→ts, u→uː, -a, o→aʊ",0.2777777777777778,False,1.919921875,18,16
"Gut, in drei Jahren werden die Wähler meine Versprechen sowieso vergessen haben.",41,18,"ʁ→ɾ, ɑ→ɑː, ɾ→r, eː→ɛ, ɐ→ɾ, +ə, n̩→n, +ɛ, ɛː→ɾ, ɐ→ə, ɐ→ɾ, ʀ→ɾ, +ə, n̩→n, o→oː, i→iː, ɐ→ɾ, aː→ɑː",0.32142857142857145,False,5.01171875,56,59
Vor dem Marinieren sollte die Würzmischung fertig sein.,30,11,"ɐ→ɾ, ɽ→x, ɪ→iː, ɾ→r, e→ə, ʁ→y, +ɾ, +k, ʁ→ɾ, i→ɪ, ɡ→k",0.28205128205128205,False,3.7109375,39,41
"Don hatte ja keine Chance, es dir zu sagen.",20,10,"-d, +j, +ɑː, ː→ɾ, ː→ɑː, eː→ɛ, -ɐ, t→ɾ, s→ts, aː→ɑː",0.35714285714285715,True,2.900390625,28,28
Möglicherweise ist es ansteckend.,19,8,"œ→ø, ɡ→k, -ɛ, ɾ→ɜ, -a, e→aɪ, eː→ɛ, ɛ→ə",0.2962962962962963,False,1.759765625,27,25
Die Anreise erfolgt bitte eigenständig.,22,11,"ɾ→r, -a, e→aɪ, +ɛ, ɛː→ɾ, ɐ→ɾ, -a, e→aɪ, ɛ→ə, s→ʃ, ç→k",0.34375,False,2.900390625,32,31
Das kostenlose Schülerticket macht all die Elterntaxis noch unverständlicher.,48,12,"e→ə, yː→uː, -ɛ, ɾ→ɜ, -l, tʰ→t, ɐ→ɜ, tʰ→t, ɪ→iː, ɛː→ɛ, ɐ→ɾ, ɐ→ɜ",0.2,False,5.53125,60,58
"Mein linkes Bein tut mir weh, beziehungsweise es zuckt unruhig.",35,11,"-ɛ, ɪ→aɪ, æ→ɾ, -t, s→ts, eː→ɪ, s→ts, uː→ʊ, ɾ→r, -ɪ, ç→k",0.2391304347826087,False,5.51171875,46,43
Dafür wurde Annemarie nicht ausgebildet.,25,7,"a→ɑː, yː→y, ʁ→ɾ, ʊ→oː, ʁ→r, -a, o→aʊ",0.21875,False,3.26953125,32,31
Leinen los!,7,1,n→d,0.125,False,0.85986328125,8,8
"Helles Lachsrosa,",8,6,"-l, ə→ɪ, x→k, ʁ→r, oː→o, ɑː→a",0.42857142857142855,False,2.3203125,14,13
Kennst du die neusten Top einhundert der Charts?,22,16,"-n, ː→uː, ɔ→aʊ, ø→ə, +ɾ, oː→ɔ, -a, e→aɪ, -ɛ, ɾ→ɜ, eː→ɛ, ɐ→ɾ, kʰ→ʃ, -ʁ, t→ɾ, s→ts",0.43243243243243246,False,2.8203125,37,34
Scheiß drauf!,4,4,"d→t, ɾ→r, -a, o→aʊ",0.5,False,0.85009765625,8,7
Die Geschichte wollte sie mir auch auftischen.,26,3,"æ→ɾ, -a, o→aʊ",0.10344827586206896,False,3.2109375,29,28
bisschen,4,2,"b→p, ç→j",0.3333333333333333,False,0.8798828125,6,6
Schwanzwedelnd kam Bello in die Küche.,24,3,"-l, ɔ→oː, +y",0.11538461538461539,False,2.80078125,26,26
Das Ordnungsamt kontrolliert die Einhaltung des Leinenzwangs für Hunde.,47,9,"ʁ→ɾ, d→t, ɔ→oː, -l, -a, e→aɪ, ə→ɛ, aj→aɪ, ɐ→ɾ",0.16071428571428573,False,5.33984375,56,54
Diese Chips haben einen ekligen Nachgeschmack.,26,9,"i→iː, -ə, s→z, ç→tʃ, aː→ɑː, -a, e→aɪ, ɛ→eː, aː→ɑː",0.2571428571428571,False,2.919921875,35,33
