sentence,correct_phonemes,incorrect_phonemes,incorrect_phonemes_list,per,has_loanword,duration_seconds,total_expected_phonemes,total_recognized_phonemes
"orange,",1,4,"o→oː, ʁ→r, +a, ː→ŋ",1.0,False,0.509765625,4,5
drehe,1,4,"d→t, ɾ→r, eː→e, +j",1.0,False,0.72998046875,4,5
Grüß dich!,2,5,"ɡ→h, ɾ→o, yː→j, d→t, ç→ʃ",0.7142857142857143,False,0.669921875,7,7
oder,1,2,"oː→uː, -ɐ",0.6666666666666666,False,0.39990234375,3,2
"Happy Purzeltag, du Eule!",7,11,"pʰ→p, ɪ→iː, pʰ→p, ʊ→u, ʁ→ɾ, l→n, tʰ→t, x→k, ː→d, ɔ→uː, +oɪ",0.6470588235294118,False,2.130859375,17,18
Lawrence kansas,5,9,"a→ɔ, -v, ʁ→ɹ, ɛ→ə, ŋ→n, z→s, -ə, a→ɛ, ɑ→ɪ",0.6428571428571429,False,1.5,14,12
verschneit,3,5,"ɛː→ɛ, ɐ→ɾ, -ə, iː→aɪ, t→d",0.625,False,0.72021484375,8,7
Ist da Ingwer drin?,8,7,"+d, ː→ɑː, ɐ→ɛ, +ɾ, d→t, +ə, ʁ→r",0.5833333333333334,False,1.3603515625,12,15
snowboy,3,4,"ɔ→oː, -v, -ɔ, ø→oʊ",0.5714285714285714,False,0.85986328125,7,5
"weizen,",3,4,"-a, -e, t→aɪ, s→ts",0.5714285714285714,False,0.72998046875,7,5
Dort drüben werden gerade zwei Plätze frei.,17,19,"ʁ→ɾ, ʁ→ɾ, yː→uː, +ə, m̩→n, eː→ɛ, ɐ→ɾ, +ə, n̩→n, ə→eː, ʁ→r, aː→a, -t, s→ts, -t, s→ts, ɾ→r, -a, e→aɪ",0.5588235294117647,False,2.939453125,34,33
übertrage,4,5,"yː→uː, -ɛ, ɾ→ɜ, -ɾ, ɑ→r",0.5555555555555556,False,0.97021484375,9,7
Ist Common Voice zusammengebrochen?,14,16,"kʰ→k, ɔ→a, -j, ɔ→ə, ŋ→n, f→v, -oː, ɪ→aʊ, -t, s→ts, -m, ɛ→ə, ŋ→n, +ɡ, ɛ→ə, ʁ→ɾ",0.5517241379310345,False,2.26953125,29,26
Scheiß drauf!,4,4,"d→t, ɾ→r, -a, o→aʊ",0.5,False,0.85009765625,8,7
"Sonntag,",3,3,"z→s, ɔ→o, aː→a",0.5,False,0.56005859375,6,6
"dunkel orange,",6,5,"-l, o→oː, ʁ→r, +a, ː→ŋ",0.5,False,1.419921875,10,10
Blöde Extra-Verifikation!,13,12,"+ə, l→n, øː→ø, -., ʁ→ɾ, f→v, ɛː→e, ɐ→r, i→iː, ɑ→a, t→ts, s→j",0.5,False,1.990234375,24,24
Der Klügere gibt nach.,10,8,"eː→ɛ, +ɾ, ɐ→ɾ, yː→uː, ɐ→ə, +r, iː→ɪ, aː→ɑː",0.5,False,1.7099609375,16,18
Wir müssen zuerst die Echtheit überprüfen.,17,15,"ɐ→ɾ, +y, -t, s→ts, u→uː, eː→ɛ, ɐ→ɾ, ə→h, iː→aɪ, yː→y, ɐ→ɜ, ʀ→ɾ, yː→uː, +ə, ̩→n",0.5,False,2.94921875,30,31
Um welche Uhrzeit?,7,7,"-., ç→tʃ, uː→w, ɐ→ɪ, -t, s→ts, t→d",0.5,False,1.4599609375,14,12
Reich mir den mal rüber.,9,8,"ɾ→r, -a, e→aɪ, æ→ɾ, aː→a, ʁ→r, +uː, ɐ→ə",0.5,False,1.4501953125,16,16
purpur,3,3,"ʊ→uː, -ɾ, -ɐ",0.5,False,1.259765625,6,4
Es zieht.,3,3,"eː→ɛ, -t, s→ts",0.5,False,0.669921875,6,5
Was ziehe ich mir zur Vernissage an?,14,14,"-t, s→ts, -æ, t→ɾ, s→ts, ɐ→ɾ, f→v, ɛː→ɛ, ɐ→ɾ, ɪ→iː, -z, ɑ→a, ɡ→ʃ, -ə",0.5,False,2.66015625,28,24
Essen Timer.,5,5,"-z, tʰ→t, ɪ→aɪ, -eː, ɐ→ə",0.5,False,1.330078125,10,8
grasgrün,4,4,"ɾ→r, ɑː→a, ɾ→r, yː→uː",0.5,False,1.080078125,8,8
System software,8,7,"ɪ→y, +h, eː→iː, z→s, a→ɛ, -ɽ, ə→ɾ",0.5,True,1.66015625,14,14
Das Vergnügen ist ganz meinerseits.,17,14,"ɐ→ɾ, yː→uː, +ə, ŋ̩→n, +t, s→ts, -a, e→aɪ, -ɛ, ɾ→ɜ, -a, -e, t→aɪ, s→ts",0.4827586206896552,False,2.4609375,29,27
"Aufsitzen, Männer! Wir reiten weiter.",13,12,"-a, o→aʊ, -t, s→ts, ɐ→ɜ, ɐ→ɾ, ʀ→r, n̩→ə, v→n, ə→v, iː→aɪ, ɐ→ɜ",0.48,False,2.869140625,25,23
"Eine Methodik und so weiter und so weiter, et cetera, et cetera.",25,23,"ɛ→e, o→oː, i→ɪ, -ə, iː→aɪ, ɐ→ɜ, -ə, iː→aɪ, ɐ→ə, -eː, t→b, t→eː, eː→ɛ, e→ɛ, ɾ→r, ɑ→a, eː→ɪ, -t, -t, eː→ɛ, e→ɛ, ɾ→r, ɑ→a",0.4791666666666667,False,5.33984375,48,43
Mehr Vorleser werden gesucht.,12,10,"ɐ→ɾ, ɐ→ɾ, ə→eː, s→z, ɐ→ə, eː→ɛ, ɐ→ɾ, +ə, n̩→n, ʊ→uː",0.47619047619047616,False,2.0390625,21,22
was sagt wikipedia über,10,9,"aː→a, ɪ→iː, cʰ→k, -ɪ, pʰ→p, ɛ→eː, iː→i, yː→y, ɐ→ɜ",0.47368421052631576,False,2.55078125,19,18
So kurz vor dem Ziel!,9,8,"ʊ→uː, ʁ→ɾ, t→ts, -s, oː→ɔ, ɐ→ɾ, -t, s→ts",0.47058823529411764,False,1.48046875,17,15
Sind ja nur Steuergelder!,12,8,"+j, +ɑː, ː→ɾ, ɐ→ɾ, +j, ɐ→ɜ, ɟ→ɡ, ɐ→ɜ",0.47058823529411764,False,1.6201171875,17,20
Die werden ja nicht schlecht.,11,8,"-d, eː→ɛ, +ɾ, +d, ɐ→ə, d→n, n̩→j, ː→ɑː",0.47058823529411764,False,2.0390625,17,18
Sie fallen ja sowieso aus.,11,7,"+ə, +n, n̩→j, ː→ɑː, o→oː, i→iː, +s",0.4666666666666667,False,1.8701171875,15,18
Augen zu und durch!,8,6,"ŋ̩→ə, t→n, s→ts, +t, ʊ→oː, ʁ→ɾ",0.46153846153846156,False,1.650390625,13,14
Höchstens ein Supercomputer wäre dazu in der Lage.,23,18,"øː→yː, +k, ç→s, -ɛ, ɪ→aɪ, pʰ→p, ɐ→ɜ, +k, tʰ→t, ɐ→ə, ɛː→ɛ, ʀ→r, -t, s→ts, u→uː, eː→ɛ, ɐ→ɾ, aː→ɑː",0.46153846153846156,False,3.8203125,39,39
zeichne Audio auf,7,6,"-t, s→ts, -a, e→aɪ, ɪ→iː, ɔ→oː",0.46153846153846156,False,1.6298828125,13,11
Die Alkoholiker in meiner Wohngemeinschaft versuchen mich immer zum Mittrinken zu motivieren.,40,32,"o→oː, +h, o→oː, i→ɪ, ɐ→ə, ɐ→ɜ, o→oː, ŋ→n, -e, m→ɡ, a→ə, -e, n→m, -s, t→aɪ, s→n, h→ʃ, ɛː→ɛ, ɐ→ɾ, ʊ→uː, -ɐ, t→ɜ, s→ts, ʊ→uː, m→ɪ, ɪ→t, ɾ→r, -t, s→ts, o→oː, i→iː, ʁ→r",0.4507042253521127,False,5.7109375,71,67
Idealerweise sollten die Verwaltungen freie Software einsetzen.,30,22,"ɪ→iː, ɛ→eː, +j, aː→ɑː, +ɜ, ɐ→ɾ, aj→aɪ, +ə, n̩→n, ɛː→ɛ, ɐ→ɾ, ə→aɪ, iː→ə, j→s, -ə, z→h, a→eː, ɽ→ɛ, ə→ɾ, t→ts, s→ə, n̩→n",0.4489795918367347,True,4.33984375,49,51
"Fährst du rückwärts gegen einen Baum, verkürzt du so deinen Kofferraum.",34,24,"+d, ː→uː, ʁ→r, +y, -ʁ, t→ɾ, s→ts, e→eː, -., -a, e→aɪ, -a, o→aʊ, ɛː→ɛ, ɐ→ɾ, +y, +d, ː→uː, -f, -ɛ, ɾ→ɜ, ɾ→r, -a, o→aʊ",0.4444444444444444,False,4.37890625,54,51
"Du begreifst aber das Dilemma, oder?",16,12,"+d, ː→uː, ɾ→r, -a, e→aɪ, ɑː→a, -e, ɾ→aɪ, iː→i, -m, ɑ→ɑː, ɐ→ɜ",0.4444444444444444,False,2.5,27,25
Bei ihrem ersten professionellen Fotoshooting war sie sehr aufgeregt.,31,22,"ʁ→r, ɐ→ɾ, +ə, n̩→n, ʁ→ɾ, ɪ→j, ɔ→oː, +ə, n̩→n, tʰ→t, ɔ→oː, -ɔ, oː→uː, tʰ→t, +k, aː→ɑː, ɐ→ɾ, e→eː, -a, o→aʊ, ɾ→r, ɛ→eː",0.44,True,5.0390625,50,51
"Ja, aber sicher ist sicher.",10,7,"ː→j, b→a, e→b, ɾ→ɜ, +ɜ, ɐ→ɾ, ɐ→ɜ",0.4375,False,2.259765625,16,17
"Naja, das ist aber nur ein Teil der Wahrheit.",20,14,"aː→ɑː, aː→ɑː, +s, -e, ɾ→ɜ, -ɐ, ɛ→ɾ, ɪ→aɪ, eː→ɛ, ɐ→ɾ, ɑ→ɑː, +h, ə→h, iː→aɪ",0.4375,False,3.19921875,32,32
Am sichersten geht es mit einem Certificate Signing Request.,27,20,"-ɛ, ɾ→ɜ, e→eː, eː→ɛ, -a, e→aɪ, ɐ→z, tʰ→ø, ɪ→ɾ, f→t, cʰ→f, ɛ→ɪ, +k, ɪ→eɪ, -ɪ, ɡ→aɪ, ɪ→ə, ʁ→ɹ, eː→ɪ, v→w",0.43478260869565216,True,4.23828125,46,44
Meinst du einen Soziopathen?,13,10,"-a, e→aɪ, t→d, -ː, a→uː, e→aɪ, -t, s→ts, ɪ→iː, ɑ→a",0.43478260869565216,False,1.8798828125,23,20
"Ah, voll durch die Brennnesseln gelaufen!",17,13,"aː→a, ʊ→uː, -ʁ, b→p, ʁ→r, -n, -n, ɛ→ɪ, -z, ɛ→ə, -l, -a, o→aʊ",0.43333333333333335,False,3.140625,30,24
