idx,id,subset,style,text,samplerate,durationSeconds,recording_year_month,microphone,language,comment,audio_wav_path,text_norm,phonemes_ipa,audio_path_fixed,has_loanword,file_exists,expected_phonemes,recognized_phonemes,expected_str,recognized_str,processing_error
15161,4aeeae88-0777-2c8c-5c93-2e844a462e49---6ee6ebc8a0e8dacf1b1d66a940c19fc1,TV-2021.02-Neutral,neutral,Verschwenden Sie nicht länger meine Lebenszeit!,16000,2.609375,2020-03,good_rodePodcaster,german,,/Volumes/SSanDisk/SpeechRec-German/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---6ee6ebc8a0e8dacf1b1d66a940c19fc1.wav,Verschwenden Sie nicht länger meine Lebenszeit!,,/Volumes/SSanDisk/audio_data/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---6ee6ebc8a0e8dacf1b1d66a940c19fc1.wav,False,True,"['f', 'ɛ', 'ʁ', 'ʃ', 'v', 'ɛ', 'n', 'd', 'ə', 'n', 'z', 'iː', 'n', 'ɪ', 'ç', 't', 'l', 'ɛ', 'ŋ', 'ɐ', 'm', 'aɪ', 'n', 'ə', 'l', 'e', 'b', 'ɛ', 'n', 's', 't', 's', 'ə', 'iː', 't']","['f', 'ɛ', 'ɾ', 'ʃ', 'v', 'ɛ', 'n', 'd', 'ə', 'n', 'z', 'iː', 'n', 'ɪ', 'ç', 't', 'l', 'ɛ', 'ŋ', 'ɜ', 'm', 'aɪ', 'n', 'ə', 'l', 'eː', 'b', 'ə', 'n', 's', 'ts', 'aɪ', 't']",f ɛ ʁ ʃ v ɛ n d ə n z iː n ɪ ç t l ɛ ŋ ɐ m aɪ n ə l e b ɛ n s t s ə iː t,f ɛ ɾ ʃ v ɛ n d ə n z iː n ɪ ç t l ɛ ŋ ɜ m aɪ n ə l eː b ə n s ts aɪ t,
20072,4aeeae88-0777-2c8c-5c93-2e844a462e49---8ab498de7beb43ad77b3346953e6e6a4,TV-2021.02-Neutral,neutral,Bei Karsten dauert der Abwasch immer eine halbe Ewigkeit.,16000,3.76953125,2019-10,bad_usbHeadset,german,,/Volumes/SSanDisk/SpeechRec-German/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---8ab498de7beb43ad77b3346953e6e6a4.wav,Bei Karsten dauert der Abwasch immer eine halbe Ewigkeit.,,/Volumes/SSanDisk/audio_data/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---8ab498de7beb43ad77b3346953e6e6a4.wav,False,True,"['b', 'aɪ', 'k', 'a', 'ɾ', 's', 't', 'ə', 'n', 'd', 'aʊ', 'ɐ', 't', 'd', 'eː', 'ɐ', 'a', 'p', 'v', 'a', 'ʃ', 'ɪ', 'm', 'ɐ', 'aɪ', 'n', 'ə', 'h', 'a', 'l', 'b', 'ə', 'e', 'v', 'ɪ', 'k', 'k', 'ə', 'iː', 't']","['b', 'aɪ', 'k', 'a', 'ɾ', 's', 't', 'ə', 'n', 'd', 'aʊ', 'ɜ', 'd', 'ɛ', 'ɾ', 'a', 'p', 'v', 'ʃ', 'ɪ', 'm', 'ɜ', 'aɪ', 'n', 'ə', 'h', 'a', 'l', 'b', 'ə', 'eː', 'v', 'ɪ', 'k', 'aɪ', 't']",b aɪ k a ɾ s t ə n d aʊ ɐ t d eː ɐ a p v a ʃ ɪ m ɐ aɪ n ə h a l b ə e v ɪ k k ə iː t,b aɪ k a ɾ s t ə n d aʊ ɜ d ɛ ɾ a p v ʃ ɪ m ɜ aɪ n ə h a l b ə eː v ɪ k aɪ t,
3198,4aeeae88-0777-2c8c-5c93-2e844a462e49---f2f6ee67c2e9a7faa90d4fa8ef5c779e,TV-2021.02-Neutral,neutral,"Gustav legt eine Reihe aus Bube, Dame, König und Ass.",16000,4.62890625,2020-02,good_rodePodcaster,german,,/Volumes/SSanDisk/SpeechRec-German/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---f2f6ee67c2e9a7faa90d4fa8ef5c779e.wav,"Gustav legt eine Reihe aus Bube, Dame, König und Ass.",,/Volumes/SSanDisk/audio_data/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---f2f6ee67c2e9a7faa90d4fa8ef5c779e.wav,False,True,"['ɡ', 'ʊ', 's', 't', 'aː', 'f', 'l', 'eː', 'k', 't', 'aɪ', 'n', 'ə', 'ɾ', 'a', 'e', 'ə', 'aʊ', 's', 'b', 'uː', 'b', 'ə', 'd', 'ɑː', 'm', 'e', 'k', 'øː', 'n', 'ɪ', 'ç', 'ʊ', 'n', 't', 'a', 's']","['ɡ', 'u', 's', 't', 'a', 'f', 'l', 'iː', 'k', 't', 'aɪ', 'n', 'ə', 'r', 'aɪ', 'ə', 'aʊ', 's', 'b', 'uː', 'b', 'ə', 'd', 'ɑː', 'm', 'ə', 'k', 'ø', 'n', 'ɪ', 'k', 'ʊ', 'n', 't', 'a', 's']",ɡ ʊ s t aː f l eː k t aɪ n ə ɾ a e ə aʊ s b uː b ə d ɑː m e k øː n ɪ ç ʊ n t a s,ɡ u s t a f l iː k t aɪ n ə r aɪ ə aʊ s b uː b ə d ɑː m ə k ø n ɪ k ʊ n t a s,
12185,4aeeae88-0777-2c8c-5c93-2e844a462e49---6bd2e17714a3c04e7d1229612e66e9b1,TV-2021.02-Neutral,neutral,"Schatz, du siehst zum Anbeißen aus!",16000,2.310546875,2019-12,bad_usbHeadset,german,,/Volumes/SSanDisk/SpeechRec-German/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---6bd2e17714a3c04e7d1229612e66e9b1.wav,"Schatz, du siehst zum Anbeißen aus!",,/Volumes/SSanDisk/audio_data/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---6bd2e17714a3c04e7d1229612e66e9b1.wav,False,True,"['ʃ', 'a', 't', 's', 'ː', 'z', 'iː', 's', 't', 't', 's', 'ʊ', 'm', 'a', 'n', 'b', 'aɪ', 's', 'ə', 'n', 'aʊ', 's']","['ʃ', 'a', 'ts', 'd', 'uː', 'z', 'iː', 's', 't', 't', 'ts', 'ʊ', 'm', 'a', 'n', 'v', 'aɪ', 'z', 'ə', 'n', 'aʊ', 's']",ʃ a t s ː z iː s t t s ʊ m a n b aɪ s ə n aʊ s,ʃ a ts d uː z iː s t t ts ʊ m a n v aɪ z ə n aʊ s,
10879,4aeeae88-0777-2c8c-5c93-2e844a462e49---09447d05ec18627af7b1dcc49643ab09,TV-2021.02-Neutral,neutral,Worin unterscheiden sich Psychologen von Psychiatern?,16000,3.4609375,2020-04,good_rodePodcaster,german,,/Volumes/SSanDisk/SpeechRec-German/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---09447d05ec18627af7b1dcc49643ab09.wav,Worin unterscheiden sich Psychologen von Psychiatern?,,/Volumes/SSanDisk/audio_data/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---09447d05ec18627af7b1dcc49643ab09.wav,False,True,"['v', 'oː', 'ɾ', 'ɪ', 'n', 'ʊ', 'n', 't', 'ɛ', 'ɾ', 'z', 'ç', 'a', 'e', 'd', 'ə', 'n', 'z', 'ɪ', 'ç', 'p', 's', 'ç', 'o', 'l', 'o', 'ɡ', 'ə', 'n', 'f', 'ɔ', 'n', 'p', 's', 'yː', 'ç', 'ɪ', 'aː', 'tʰ', 'ɐ', 'n']","['v', 'oː', 'r', 'ɪ', 'n', 'ʊ', 'n', 't', 'ɜ', 'ʃ', 'aɪ', 'd', 'ə', 'n', 'z', 'ɪ', 'ç', 'p', 'z', 'y', 'ç', 'oː', 'l', 'oː', 'ɡ', 'ə', 'n', 'f', 'ɔ', 'n', 'p', 'z', 'y', 'ç', 'ɑː', 't', 'ə', 'n']",v oː ɾ ɪ n ʊ n t ɛ ɾ z ç a e d ə n z ɪ ç p s ç o l o ɡ ə n f ɔ n p s yː ç ɪ aː tʰ ɐ n,v oː r ɪ n ʊ n t ɜ ʃ aɪ d ə n z ɪ ç p z y ç oː l oː ɡ ə n f ɔ n p z y ç ɑː t ə n,
19186,4aeeae88-0777-2c8c-5c93-2e844a462e49---da7415435b8f7bbac2bcae9335e7abd4,TV-2021.02-Neutral,neutral,Damals war die Gruppe auch noch nicht so berühmt.,16000,3.490234375,2020-02,good_rodePodcaster,german,,/Volumes/SSanDisk/SpeechRec-German/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---da7415435b8f7bbac2bcae9335e7abd4.wav,Damals war die Gruppe auch noch nicht so berühmt.,,/Volumes/SSanDisk/audio_data/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---da7415435b8f7bbac2bcae9335e7abd4.wav,False,True,"['d', 'a', 'm', 'a', 'l', 's', 'v', 'aː', 'ɐ', 'd', 'iː', 'ɡ', 'ʁ', 'ʊ', 'p', 'ə', 'aʊ', 'x', 'n', 'ɔ', 'x', 'n', 'ɪ', 'ç', 't', 'z', 'oː', 'b', 'ə', 'ɾ', 'j', 'm', 't']","['d', 'ɑː', 'm', 'a', 'l', 's', 'v', 'ɑː', 'ɾ', 'd', 'iː', 'ɡ', 'ɾ', 'ʊ', 'p', 'ə', 'aʊ', 'x', 'n', 'ɔ', 'n', 'ɪ', 'ç', 't', 't', 'z', 'oː', 'b', 'ə', 'r', 'y', 'm', 't']",d a m a l s v aː ɐ d iː ɡ ʁ ʊ p ə aʊ x n ɔ x n ɪ ç t z oː b ə ɾ j m t,d ɑː m a l s v ɑː ɾ d iː ɡ ɾ ʊ p ə aʊ x n ɔ n ɪ ç t t z oː b ə r y m t,
4163,4aeeae88-0777-2c8c-5c93-2e844a462e49---f5900817c16ba71e39b85901f80a3d2d,TV-2021.02-Neutral,neutral,"Deinem vorlauten Freund solltest du sagen, dass er sich zurückhalten soll.",16000,5.01171875,2019-10,bad_usbHeadset,german,,/Volumes/SSanDisk/SpeechRec-German/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---f5900817c16ba71e39b85901f80a3d2d.wav,"Deinem vorlauten Freund solltest du sagen, dass er sich zurückhalten soll.",,/Volumes/SSanDisk/audio_data/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---f5900817c16ba71e39b85901f80a3d2d.wav,False,True,"['d', 'aɪ', 'n', 'ə', 'm', 'f', 'oː', 'ɐ', 'l', 'a', 'o', 't', 'ə', 'n', 'f', 'ɾ', 'ɔ', 'ø', 'n', 't', 'z', 'ɔ', 'l', 't', 'ə', 's', 't', 'ː', 'z', 'aː', 'ɡ', 'ə', 'n', 'd', 'a', 's', 'eː', 'ɐ', 'z', 'ɪ', 'ç', 't', 's', 'u', 'ʀ', 'k', 'h', 'a', 'l', 't', 'n̩', 'z', 'ɔ', 'l']","['d', 'aɪ', 'n', 'ə', 'm', 'f', 'oː', 'ɾ', 'l', 'aʊ', 't', 'ə', 'n', 'f', 'ɾ', 'aʊ', 'n', 't', 'z', 'ɔ', 'l', 't', 'ə', 's', 't', 'uː', 'z', 'ɑː', 'ɡ', 'ə', 'n', 'd', 'a', 's', 'ɛ', 'ɾ', 'z', 'ɪ', 'ç', 'ts', 'uː', 'r', 'ə', 'k', 'a', 'l', 't', 'ə', 'n', 'z', 'ɔ', 'l', 'ə']",d aɪ n ə m f oː ɐ l a o t ə n f ɾ ɔ ø n t z ɔ l t ə s t ː z aː ɡ ə n d a s eː ɐ z ɪ ç t s u ʀ k h a l t n̩ z ɔ l,d aɪ n ə m f oː ɾ l aʊ t ə n f ɾ aʊ n t z ɔ l t ə s t uː z ɑː ɡ ə n d a s ɛ ɾ z ɪ ç ts uː r ə k a l t ə n z ɔ l ə,
8874,4aeeae88-0777-2c8c-5c93-2e844a462e49---72cb4cd0ab5830c3251f624c9d46a7a3,TV-2021.02-Neutral,neutral,Offiziell gibt es kein hitzefrei mehr.,16000,2.80078125,2019-12,bad_usbHeadset,german,,/Volumes/SSanDisk/SpeechRec-German/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---72cb4cd0ab5830c3251f624c9d46a7a3.wav,Offiziell gibt es kein hitzefrei mehr.,,/Volumes/SSanDisk/audio_data/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---72cb4cd0ab5830c3251f624c9d46a7a3.wav,False,True,"['ɔ', 'f', 'i', 't', 's', 'i', 'ɛ', 'l', 'ɡ', 'iː', 'p', 't', 'eː', 's', 'k', 'aɪ', 'n', 'h', 'ɪ', 't', 's', 'ɛ', 'f', 'ɾ', 'a', 'e', 'm', 'eː', 'ɐ']","['ɔ', 'f', 'i', 'ts', 'j', 'ɛ', 'l', 'ɡ', 'iː', 'p', 't', 'ɛ', 's', 'k', 'aɪ', 'n', 'h', 'ɪ', 'ts', 'ə', 'f', 'r', 'aɪ', 'm', 'eː', 'ɾ']",ɔ f i t s i ɛ l ɡ iː p t eː s k aɪ n h ɪ t s ɛ f ɾ a e m eː ɐ,ɔ f i ts j ɛ l ɡ iː p t ɛ s k aɪ n h ɪ ts ə f r aɪ m eː ɾ,
9230,4aeeae88-0777-2c8c-5c93-2e844a462e49---2b490fa25334fdb3114920e23352be9e,TV-2021.02-Neutral,neutral,Wer redet der Jugend so einen Unsinn ein?,16000,2.66015625,2020-03,good_rodePodcaster,german,,/Volumes/SSanDisk/SpeechRec-German/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---2b490fa25334fdb3114920e23352be9e.wav,Wer redet der Jugend so einen Unsinn ein?,,/Volumes/SSanDisk/audio_data/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---2b490fa25334fdb3114920e23352be9e.wav,False,True,"['v', 'eː', 'ɐ', 'ɾ', 'eː', 'd', 'ə', 't', 'd', 'eː', 'ɐ', 'j', 'uː', 'ɡ', 'ɛ', 'n', 't', 'z', 'oː', 'a', 'e', 'n', 'ə', 'n', 'ʊ', 'n', 'z', 'ɪ', 'n', 'n', 'ɛ', 'ɪ', 'n']","['v', 'eː', 'ɾ', 'r', 'eː', 'd', 'ə', 't', 'd', 'ɛ', 'ɾ', 'j', 'uː', 'ɡ', 'ə', 'n', 't', 'ts', 'uː', 'aɪ', 'n', 'ə', 'n', 'ʊ', 'n', 'z', 'ɪ', 'n', 'aɪ', 'n']",v eː ɐ ɾ eː d ə t d eː ɐ j uː ɡ ɛ n t z oː a e n ə n ʊ n z ɪ n n ɛ ɪ n,v eː ɾ r eː d ə t d ɛ ɾ j uː ɡ ə n t ts uː aɪ n ə n ʊ n z ɪ n aɪ n,
8346,4aeeae88-0777-2c8c-5c93-2e844a462e49---f7941edc4019c959b2147bd252b09f41,TV-2021.02-Neutral,neutral,Sonst hatten wir nie Probleme mit Streunern.,16000,2.779296875,2019-12,bad_usbHeadset,german,,/Volumes/SSanDisk/SpeechRec-German/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---f7941edc4019c959b2147bd252b09f41.wav,Sonst hatten wir nie Probleme mit Streunern.,,/Volumes/SSanDisk/audio_data/data_wav/TV-2021.02-Neutral/4aeeae88-0777-2c8c-5c93-2e844a462e49---f7941edc4019c959b2147bd252b09f41.wav,False,True,"['z', 'ɔ', 'n', 's', 't', 'h', 'a', 't', 'n̩', 'v', 'iː', 'ɐ', 'n', 'iː', 'p', 'ʀ', 'o', 'b', 'l', 'eː', 'm', 'ə', 'm', 'ɪ', 't', 'ʃ', 't', 'ʁ', 'ɔ', 'n', 'ɐ', 'n']","['z', 'ɔ', 'n', 's', 't', 'h', 'a', 't', 'ə', 'n', 'v', 'iː', 'ɾ', 'n', 'iː', 'p', 'ɾ', 'oː', 'b', 'l', 'eː', 'm', 'ə', 'm', 'ɪ', 't', 'ʃ', 't', 'ɾ', 'aʊ', 'n', 'ə', 'n']",z ɔ n s t h a t n̩ v iː ɐ n iː p ʀ o b l eː m ə m ɪ t ʃ t ʁ ɔ n ɐ n,z ɔ n s t h a t ə n v iː ɾ n iː p ɾ oː b l eː m ə m ɪ t ʃ t ɾ aʊ n ə n,
